"Observation","Cooks_Distance"
759,7.50442677183999e-05
760,1.14166886194974e-05
761,9.73022723968902e-05
762,0.000416668702042476
763,0.000341753679109167
764,0.000852221793518186
765,7.00206896268956e-06
766,5.07913265188773e-05
767,0.00274752276810404
768,0.000188126414674415
769,0.0048654581994794
770,6.24547368908728e-07
771,1.27145366975718e-05
772,3.350623116987e-06
773,1.29930369497729e-06
774,3.7945360388764e-05
775,0.00010737490196924
776,9.14643199604433e-06
777,2.59664566119804e-06
778,0.00110703594153254
779,0.00283937562723301
780,0.000222633705767471
781,1.31262476840796e-06
782,0.0011332296758515
783,0.00116760620109474
784,0.00149721423407761
785,7.36271001498903e-07
786,0.00053799922761474
787,0.00817013417200863
788,0.000596963237768728
789,0.000144916295300323
790,0.000709028588051744
791,0.000149688272284615
792,0.000380085010266144
793,0.00144735832056429
794,3.49352906519284e-07
795,0.000243546591672574
796,0.000370396099089175
797,0.002258381698151
798,6.97743678293086e-05
799,1.59660315380632e-12
800,0.000257853187248298
801,0.000100112562960731
802,9.81029345999906e-05
803,1.05708349916681e-05
804,0.00241645630920738
805,0.00405998447538216
806,3.05304421229707e-06
807,1.83846060383517e-07
808,5.0844227338554e-11
809,0.00135766179123843
810,3.20362915310909e-05
811,0.000155544408247761
812,9.995107290059e-06
813,0.00272473332363661
814,0.000217450843257292
815,0.000214309981717846
816,0.000348124982957554
817,2.786499993176e-06
818,0.000458105827831826
819,1.26710841160059e-05
820,6.52633145572223e-05
821,0.000111074503668747
822,8.88932987401973e-05
823,5.34841958455011e-08
824,3.44093207752112e-05
825,0.00364589077511082
826,6.89392984470193e-05
827,0.000138360974351212
828,0.000342032617628206
829,0.000128588145788406
830,1.31577162574555e-05
831,4.94883225256859e-09
832,3.26452341375949e-05
833,8.00587547384997e-06
834,1.96801946440038e-07
835,5.19620333615871e-05
836,9.79759980327177e-05
837,3.05493910256836e-05
838,0.000419740843357989
839,0.000151938519442391
840,1.54353636583925e-06
841,1.55288147997791e-07
842,5.45102124215015e-09
843,0.000261070031084559
844,0.000130029361263591
845,0.00102511090317489
846,0.000115316037127336
847,7.65225646046796e-06
848,6.24943701685213e-05
